Wavelength,"Control-NP, RT, 1h,50:1","Control-Cy5, RT, 1h,50:1"
489,0.174,0.0975
490,0.1725,0.095
491,0.171,0.095
492,0.1695,0.0955
493,0.1685,0.0935
494,0.167,0.0915
495,0.166,0.0905
496,0.165,0.0905
497,0.164,0.0905
498,0.1625,0.09
499,0.1615,0.0885
500,0.161,0.0885
501,0.1595,0.0875
502,0.158,0.0865
503,0.1575,0.0865
504,0.1565,0.086
505,0.154,0.085
506,0.153,0.0845
507,0.1515,0.0835
508,0.151,0.0835
509,0.1495,0.0825
510,0.1485,0.0815
511,0.147,0.081
512,0.1465,0.0805
513,0.145,0.08
514,0.144,0.079
515,0.143,0.0775
516,0.1425,0.0785
517,0.142,0.0775
518,0.1395,0.077
519,0.138,0.076
520,0.138,0.075
521,0.136,0.0745
522,0.1365,0.0735
523,0.135,0.0735
524,0.134,0.0725
525,0.1335,0.073
526,0.132,0.073
527,0.1315,0.0725
528,0.13,0.0715
529,0.1275,0.07
530,0.1275,0.068
531,0.127,0.067
532,0.125,0.0675
533,0.123,0.0685
534,0.124,0.0665
535,0.1225,0.065
536,0.122,0.065
537,0.1215,0.065
538,0.1205,0.065
539,0.1195,0.0635
540,0.118,0.065
541,0.1175,0.0645
542,0.1165,0.063
543,0.1155,0.061
544,0.1145,0.061
545,0.1135,0.0605
546,0.114,0.0605
547,0.1115,0.061
548,0.112,0.0595
549,0.1115,0.059
550,0.109,0.0585
551,0.108,0.059
552,0.108,0.0585
553,0.1075,0.058
554,0.1055,0.057
555,0.105,0.057
556,0.105,0.056
557,0.1045,0.0555
558,0.1025,0.0555
559,0.1025,0.0545
560,0.1015,0.0545
561,0.101,0.0545
562,0.1015,0.0535
563,0.1,0.054
564,0.1,0.0535
565,0.098,0.0535
566,0.0975,0.0535
567,0.097,0.052
568,0.097,0.0515
569,0.0945,0.0515
570,0.095,0.05
571,0.0945,0.051
572,0.0945,0.0505
573,0.0925,0.0495
574,0.0915,0.05
575,0.0905,0.049
576,0.09,0.0485
577,0.0885,0.0485
578,0.088,0.047
579,0.0875,0.0465
580,0.087,0.047
581,0.087,0.0465
582,0.086,0.047
583,0.0855,0.047
584,0.084,0.0455
585,0.0835,0.046
586,0.0835,0.0455
587,0.083,0.045
588,0.0825,0.0455
589,0.0815,0.045
590,0.08,0.045
591,0.0805,0.0435
592,0.0795,0.044
593,0.079,0.0435
594,0.078,0.0435
595,0.078,0.0435
596,0.077,0.0435
597,0.076,0.042
598,0.076,0.042
599,0.075,0.041
600,0.0745,0.04
601,0.0735,0.0405
602,0.0735,0.041
603,0.0725,0.042
604,0.0715,0.0405
605,0.072,0.041
606,0.071,0.039
607,0.0705,0.0385
608,0.0705,0.0385
609,0.069,0.039
610,0.069,0.038
611,0.0675,0.0375
612,0.067,0.0365
613,0.0665,0.036
614,0.0665,0.0365
615,0.0655,0.037
616,0.066,0.037
617,0.0655,0.0365
618,0.065,0.036
619,0.064,0.0355
620,0.0625,0.036
621,0.063,0.0355
622,0.062,0.0355
623,0.061,0.0355
624,0.061,0.0355
625,0.06,0.0355
626,0.0595,0.035
627,0.059,0.034
628,0.0575,0.0345
