diameter 1-1
45.112
48.152
49.23
52.216
60.365
46.488
45.454
48.699
49.905
42.312
52.216
61.698
46.031
48.639
50.191
50.864
53.243
52.121
52.253
47.079
54.812
49.676
44.9
49.106
56.37
49.92
52.154
49.284
59.609
56.159
54.049
50.544
53.059
50.941
61.892
54.047
48.198
48.705
55.025
48.287
47.91
46.47
66.235
47.877
52.658
44.824
47.579
44.59
45.215
46.466
44.226
55.708
50.102
48.894
52.898
55.582
51.668
54.827
46.076
47.058
50.915
41.557
48.708
49.513
43.033
46.01
60.445
51.985
55.471
52.977
47.506
58.558
50.851
48.695
39.292
58.781
63.643
51.485
54.552
55.495
46.915
46.386
60.887
46.793
54.67
49.024
44.665
50.75
53.455
52.97
46.73
46.372
54.239
46.032
50.587
45.569
44.162
58.985
48.78
48.892
53.288
38.988
45.596
44.179
55.677
56.609
43.851
49.452
59.301
49.825
46.62
46.545
44.85
53.083
53.986
55.741
45.471
42.99
48.87
49.038
61.972
48.485
40.929
50.9
55.648
56.859
54.324
47.023
56.087
47.633
59.203
40.507
53.946
54.848
57.363
47.605
49.223
43.499
54.857
47.158
52.906
51.564
56.372
45.313
48.965
55.474
50.082
43.8
40.377
51.498
52.996
40.344
52.418
49.741
49.521
41.496
55.427
51.048
44.762
45.344
